Date,Close,MarketCap
,NPN.JO,
2023-01-11,66523.2265625,51010925753815.41
2023-01-12,65693.3125,50374536227753.25
2023-01-13,67358.9453125,51651766394148.28
2023-01-16,66126.6640625,50706836170529.16
2023-01-17,67093.1640625,51447961673435.16
2023-01-18,67137.1640625,51481701479051.16
2023-01-19,66891.9921875,51293700310755.47
2023-01-20,67535.125,51786863403460.5
2023-01-23,68039.2734375,52173451364434.59
2023-01-24,68715.796875,52692218847978.19
2023-01-25,67566.3203125,51810784398457.78
2023-01-26,69999.8671875,53676861637546.97
2023-01-27,70783.0,54277378657212.0
2023-01-30,67089.3671875,51445050177424.97
2023-01-31,66924.1796875,51318382128784.22
2023-02-01,66673.0078125,51125780077904.53
2023-02-02,66975.78125,51357950917153.125
2023-02-03,67993.078125,52138028162977.31
2023-02-06,66793.1953125,51217941507165.28
2023-02-07,66986.578125,51366230109511.31
2023-02-08,68003.875,52146307355335.5
2023-02-09,68618.40625,52617538376243.625
2023-02-10,68652.2109375,52643460275906.34
2023-02-13,69281.546875,53126043734961.19
2023-02-14,68627.609375,52624595459165.44
2023-02-15,68900.375,52833755894761.5
2023-02-16,69515.515625,53305454192807.06
2023-02-17,67174.1640625,51510073588319.16
2023-02-20,67133.765625,51479095510400.06
2023-02-21,64646.01953125,49571457564375.33
2023-02-22,64713.41015625,49623133623189.89
2023-02-23,65139.97265625,49950227619396.14
2023-02-24,63388.94140625,48607512755702.016
2023-02-27,64593.42578125,49531127952974.95
2023-02-28,65134.37109375,49945932264171.234
2023-03-01,68378.4296875,52433521045081.22
2023-03-02,65447.5390625,50186073773052.66
2023-03-03,65176.5625,49978285215206.25
2023-03-06,65578.5234375,50286514394671.59
2023-03-07,65630.9140625,50326688247026.16
2023-03-08,64516.43359375,49472089283879.484
2023-03-09,63357.55078125,48583441992391.45
2023-03-10,60987.79296875,46766279084419.92
2023-03-13,61793.90625,47384417843825.625
2023-03-14,62623.2265625,48020352074215.41
2023-03-15,61008.390625,46782073650738.56
2023-03-16,60954.39453125,46740668702848.83
2023-03-17,59695.12109375,45775040498334.234
2023-03-20,62070.484375,47596501756896.94
2023-03-22,63971.0859375,49053909194901.84
2023-03-23,66993.1796875,51371292278500.22
2023-03-24,66593.21875,51064596726562.875
2023-03-27,63963.484375,49048080212148.94
2023-03-28,65418.5390625,50163836173896.66
2023-03-29,66776.59375,51205211200536.375
2023-03-30,66344.453125,50873839821302.81
2023-03-31,65852.4921875,50496597403077.47
2023-04-03,65660.3125,50349231373541.25
2023-04-04,66311.046875,50848223448999.19
2023-04-05,64428.04296875,49404310136020.92
2023-04-06,65019.77734375,49858060199402.86
2023-04-11,63373.546875,48595708017249.19
2023-04-12,61129.77734375,46875154657442.86
2023-04-13,63178.56640625,48446194310100.516
2023-04-14,64388.44140625,49373943112820.016
2023-04-17,67197.9609375,51528321359609.34
2023-04-18,67473.1328125,51739326940825.03
2023-04-19,66823.796875,51241407206490.19
2023-04-20,65971.078125,50587530732169.31
2023-04-21,64957.98828125,49810679495813.2
